1783803600,81594,37,1,0,0,0.20,0.25
1783803601,81427,51,0,0,0,0.20,1.25
1783803602,94440,74,0,0,0,0.20,1.01
1783803603,86621,39,0,0,0,0.20,0.50
1783803604,85523,76,0,0,0,0.20,1.75
1783803605,84845,88,2,2,0,0.59,1.27
1783803606,83179,86,0,0,0,0.20,1.52
1783803607,86568,100,0,0,0,0.20,1.52
1783803608,84282,105,0,0,0,0.39,1.02
1783803609,87727,104,1,1,0,0.39,1.52
1783803610,86800,104,0,1,0,0.39,1.52
1783803611,124208,94,0,0,0,0.39,0.76
1783803612,85056,78,0,0,0,0.39,1.76
1783803613,84240,99,0,0,0,0.39,1.26
1783803614,87436,96,0,0,0,0.39,1.27
1783803615,88187,90,0,0,0,0.39,1.52
1783803616,81232,89,1,1,0,0.39,1.27
1783803617,90321,92,0,0,0,0.20,1.27
1783803618,95297,80,1,1,0,0.39,1.02
1783803619,88505,88,0,0,0,0.20,2.01
1783803620,83174,77,0,0,0,0.20,1.76
1783803621,87115,87,2,2,0,0.20,2.01
1783803622,89392,94,1,1,0,0.39,1.27
1783803623,84328,86,0,0,0,0.20,1.51
1783803624,88745,72,0,0,0,0.20,1.26
1783803625,91967,74,0,0,0,0.39,3.79
1783803626,70920,64,1,1,0,0.39,2.51
1783803627,74875,62,2,1,0,0.20,0.25
1783803628,70915,76,0,0,0,0.20,1.00
1783803629,80865,76,1,1,0,0.20,0.25
1783803630,83889,68,0,0,0,0.39,0.50
1783803631,86499,58,0,0,0,0.20,0.51
1783803632,89580,59,1,1,0,0.39,0.51
1783803633,89277,67,0,0,0,0.39,0.76
1783803634,84186,65,1,1,0,0.20,1.01
1783803635,88575,54,0,0,0,0.20,1.01
1783803636,90102,59,0,0,0,0.20,0.25
1783803637,119705,52,0,0,0,0.20,1.25
1783803638,93267,43,0,0,0,0.20,1.00
1783803639,119228,50,0,0,0,0.39,0.76
1783803640,87275,54,0,0,0,0.20,0.76
1783803641,85636,45,1,1,0,0.39,0.50
1783803642,87697,56,1,1,0,0.20,0.76
1783803643,84344,70,0,0,0,0.20,1.26
1783803644,86774,71,0,0,0,0.39,1.26
1783803645,100196,47,0,0,0,0.20,1.01
1783803646,82265,68,0,0,0,0.20,2.24
1783803647,90431,45,0,0,0,0.20,0.75
1783803648,82505,50,0,0,0,0.39,1.01
1783803649,88436,61,0,0,0,0.20,0.76
1783803650,87285,64,1,1,0,0.39,1.01
1783803651,85772,64,0,0,0,0.20,1.26
1783803652,87334,45,1,1,0,0.20,0.75
1783803653,86345,50,0,0,0,0.20,1.01
1783803654,85985,61,0,0,0,0.20,1.26
1783803655,118230,48,1,2,0,0.39,0.76
1783803656,79019,59,0,0,0,0.39,0.76
1783803657,78873,71,0,0,0,0.39,1.01
1783803658,81645,43,1,1,0,0.20,0.00
1783803659,106347,51,0,0,0,0.20,1.01
1783803660,87249,52,0,0,0,0.39,0.50
1783803661,84923,58,0,0,0,0.20,0.51
1783803662,83173,49,1,1,0,0.20,0.76
1783803663,90279,31,0,0,0,0.20,0.25
1783803664,84626,33,0,0,0,0.20,1.25
1783803665,85382,70,0,0,0,0.39,1.26
1783803666,83328,46,0,0,0,0.20,0.76
1783803667,85077,53,0,0,0,0.39,0.51
1783803668,87298,54,0,0,0,0.20,1.50
1783803669,87177,64,0,0,0,0.20,1.50
1783803670,84870,58,2,2,0,0.39,1.25
1783803671,84024,51,0,0,0,0.20,0.76
1783803672,86357,54,0,0,0,0.20,1.01
1783803673,84108,54,1,1,0,0.39,1.25
1783803674,86549,51,2,2,0,0.39,0.51
1783803675,80138,60,1,1,0,0.39,0.76
1783803676,84042,58,0,0,0,0.20,0.76
1783803677,82218,52,1,1,0,0.20,0.25
1783803678,81438,41,0,0,0,0.20,0.75
1783803679,88161,55,0,0,0,0.20,1.26
1783803680,83947,54,1,1,0,0.20,0.51
1783803681,88382,48,1,1,0,0.20,0.76
1783803682,84902,47,0,0,0,0.39,0.50
1783803683,85955,59,0,0,0,0.39,0.76
1783803684,84249,52,0,0,0,0.39,0.76
1783803685,85254,57,2,2,0,0.39,1.01
1783803686,95220,40,0,0,0,0.20,0.50
1783803687,85864,56,3,3,0,0.20,1.01
1783803688,87292,44,0,0,0,0.39,1.00
1783803689,80284,38,0,1,0,0.20,0.50
1783803690,96507,46,0,0,0,0.59,1.01
1783803691,86170,41,1,1,0,0.20,1.00
1783803692,83700,46,2,1,0,0.20,1.25
1783803693,88731,43,0,0,0,0.20,0.00
1783803694,84233,55,0,0,0,0.20,1.25
1783803695,84633,45,1,1,0,0.39,0.25
1783803696,81805,61,0,0,0,0.39,1.75
1783803697,85126,56,0,0,0,0.20,0.51
1783803698,83552,48,0,0,0,0.39,0.25
1783803699,85262,39,0,0,0,0.20,0.75
1783803700,92026,53,2,1,0,0.20,1.01
1783803701,92073,42,2,2,0,0.20,0.50
1783803702,95715,41,0,0,0,0.20,1.50
1783803703,85923,50,0,0,0,0.20,1.51
1783803704,87486,53,0,0,0,0.20,1.01
1783803705,84832,59,0,0,0,0.20,1.01
1783803706,85357,48,1,1,0,0.39,0.51
1783803707,86041,44,0,1,0,0.20,0.75
1783803708,127351,53,0,0,0,0.39,0.00
1783803709,82830,46,0,1,0,0.39,1.01
1783803710,86593,57,0,0,0,0.39,0.76
1783803711,86346,43,0,0,0,0.20,0.75
1783803712,83133,14,0,0,0,0.20,0.00
1783803713,89974,43,1,1,0,0.39,0.76
1783803714,81660,54,1,1,0,0.39,0.76
1783803715,89130,55,0,0,0,0.20,0.76
1783803716,79778,43,0,0,0,0.39,1.00
